,X좌표,Y좌표,비상소화장치고유번호
560,199516.8922,550582.3611,중부-신당-000014
561,200965.005,553119.1124,종로-숭인-6-49(?
562,200754.3873,551313.9334,중부-현장-000015
563,201776.0901,552548.2349,종로-숭인-6-31(?
564,201221.2475,553028.8593,종로-숭인-6-64(?
565,201659.1319,553059.9529,종로-숭인-6-03(?
566,200730.6527,552875.9604,종로-숭인-6-44(?
567,200686.5955,553033.9252,종로-연건-4-07(?
568,199517.5742,551519.5124,중부-을지-000025
569,200438.0554,550121.2477,중부-신당-24(비)
570,201566.9784,552795.6474,종로-숭인-6-07(?
571,200819.6891,551200.3471,중부-현장-000035
572,201815.8838,552623.0539,종로-숭인-6-32(?
573,201057.621,552342.4568,종로-숭인-6-15(?
574,201121.6071,552354.4095,종로-숭인-6-17(?
575,201290.9181,552349.0529,종로-숭인-6-24(?
576,201058.4228,552409.6439,종로-숭인-6-14(?
577,206837.5947,554186.993,중랑-면목-2-17(?
578,207880.2039,553169.7081,중랑-면목-2-19(?
579,209075.5967,554728.0387,중랑-망우-3-25(?
580,208550.7736,555089.8647,중랑-망우-3-26(?
581,208872.9633,554401.4369,중랑-망우-3-27(?
